FID_riv1	FID_reach_	length_int
14	99276	203.48800000000
14	100050	94.20320000000
14	100051	213.98800000000
14	100825	58.35460000000
14	100826	266.19200000000
14	100827	74.54000000000
14	101601	180.97600000000
14	101602	267.34800000000
14	101603	239.86400000000
14	101604	118.28100000000
14	102378	109.20300000000
14	102379	222.70300000000
14	102380	250.79600000000
14	102381	156.41900000000
14	103155	74.47150000000
14	103156	219.84400000000
14	103157	165.96900000000
14	103931	98.79420000000
14	103932	257.67700000000
14	104706	241.99900000000
14	105480	262.99900000000
14	106254	249.54200000000
14	106255	9.84056000000
15	103956	279.55900000000
15	103957	200.00000000000
15	103958	200.00000000000
15	103959	271.69700000000
15	103960	200.00000000000
15	103961	211.85700000000
15	104724	153.22100000000
15	104725	161.42400000000
15	104729	304.90800000000
15	104730	83.03360000000
15	104735	231.50000000000
15	105499	107.03700000000
15	105500	205.03800000000
15	105501	200.00000000000
15	105502	276.04600000000
15	105503	57.68480000000
15	105509	200.00000000000
15	106283	80.32390000000
15	106284	248.09600000000
15	106285	28.77410000000
15	106286	11.16020000000
15	106287	155.81400000000
15	107059	202.72500000000
15	107060	265.82200000000
15	107061	95.52890000000
15	107062	370.95800000000
15	107063	166.74100000000
15	107836	74.05220000000
15	107837	247.33600000000
15	108611	59.68030000000
15	108612	44.49320000000
16	106255	33.31450000000
16	107028	360.71800000000
16	107029	27.22380000000
16	107801	360.71800000000
16	107802	27.22370000000
16	108574	360.55000000000
16	108575	27.22370000000
16	109340	30.73880000000
16	109341	200.00000000000
16	109342	200.00000000000
16	109343	200.00000000000
16	109344	200.00000000000
16	109345	200.00000000000
16	109346	200.00000000000
16	109347	250.69800000000
16	109348	27.39180000000
17	95617	136.60300000000
17	95618	276.04600000000
17	95619	210.50000000000
17	95620	186.14900000000
17	96390	20.09390000000
17	96391	255.08000000000
17	97164	255.17300000000
17	97937	122.52800000000
17	97938	108.97100000000
17	98711	146.60200000000
17	98712	114.60500000000
17	99486	183.08700000000
17	99487	114.60500000000
17	100261	255.69200000000
17	101035	18.28960000000
17	101036	279.40200000000
17	101810	18.28960000000
17	101811	254.05300000000
17	102585	130.18500000000
17	102586	112.08000000000
17	103360	241.99900000000
17	104134	106.20500000000
17	104135	171.64300000000
17	104909	126.04900000000
17	104910	115.95000000000
17	105684	256.84800000000
17	106458	203.73000000000
17	106459	41.56860000000
17	107233	228.20000000000
17	108007	241.99900000000
17	108781	49.91180000000
17	108782	181.58800000000
17	109556	200.00000000000
17	110329	143.35600000000
17	110330	109.14300000000
17	111102	47.46550000000
17	111103	230.38200000000
17	111876	200.00000000000
17	112650	93.15940000000
17	112651	153.39200000000
17	113425	129.45000000000
17	113426	34.24980000000
18	106255	190.15900000000
18	106256	200.00000000000
18	106257	200.00000000000
18	106258	301.39500000000
18	106259	246.99300000000
18	106260	66.96280000000
18	107034	212.64300000000
18	107808	251.34300000000
18	108582	30.73010000000
18	108583	210.11300000000
18	109357	188.97400000000
18	109358	108.71800000000
18	110132	250.17100000000
18	110133	1.17217000000
18	110907	296.52000000000
18	110908	1.17217000000
18	111682	218.67200000000
18	111683	184.76500000000
18	112457	236.29100000000
18	112465	104.77600000000
18	112466	200.00000000000
18	112467	290.13400000000
18	113231	200.00000000000
18	113234	13.38670000000
18	113235	225.34900000000
18	113236	200.00000000000
18	113237	225.34900000000
18	113238	276.04700000000
18	113239	156.42200000000
18	113241	27.91130000000
18	113242	269.78000000000
18	114005	200.00000000000
18	114007	215.02100000000
18	114008	273.16000000000
18	114016	29.06710000000
18	114017	268.62500000000
18	114779	289.74000000000
18	114780	221.00000000000
18	114781	172.92000000000
18	114791	30.22300000000
18	114792	217.41600000000
19	108611	54.51090000000
19	108612	132.85700000000
19	109384	53.35510000000
19	109385	333.43100000000
19	110157	178.94300000000
19	110158	309.23800000000
19	110930	279.18300000000
19	110931	107.60300000000
19	111702	27.32910000000
19	111703	352.09300000000
19	111704	83.41010000000
19	112475	305.01000000000
19	112476	259.21700000000
19	113247	179.90100000000
19	113248	306.95400000000
19	113249	1.32579000000
19	114020	305.48900000000
19	114021	157.34300000000
19	114792	24.58280000000
19	114793	276.04600000000
19	114794	57.10370000000
20	91891	139.11800000000
20	92664	167.52300000000
20	92665	109.16900000000
20	93437	167.52300000000
20	93438	130.16800000000
20	94210	262.64500000000
20	94211	111.09300000000
20	94981	271.78200000000
20	94982	200.00000000000
20	94983	203.08000000000
20	94984	22.62250000000
20	95755	200.00000000000
20	96528	186.31900000000
20	96529	88.85530000000
20	97301	135.62100000000
20	97302	162.07100000000
20	98074	135.62100000000
20	98075	162.07100000000
20	98847	135.62100000000
20	98848	162.07100000000
20	99620	135.62100000000
20	99621	162.07100000000
20	100393	135.62100000000
20	100394	162.07100000000
20	101167	240.84300000000
20	101940	264.83500000000
20	101941	22.62260000000
20	102714	210.50000000000
20	103488	200.00000000000
20	104262	200.00000000000
20	105035	119.83600000000
20	105036	132.12400000000
20	105808	211.58700000000
20	105809	162.15100000000
20	106581	227.38200000000
20	106582	70.31010000000
20	107354	227.38200000000
20	107355	70.31010000000
20	108126	87.93330000000
20	108127	242.58100000000
20	108128	68.57290000000
20	108899	62.75260000000
20	108900	209.75800000000
20	109671	32.00620000000
20	109672	270.61300000000
20	109673	173.67000000000
20	110445	231.49900000000
20	111219	241.99900000000
20	111992	99.27830000000
20	111993	132.22100000000
20	112766	200.00000000000
20	113540	241.99900000000
20	114313	23.15590000000
20	114314	197.84400000000
20	115087	241.99900000000
20	115860	107.99700000000
20	115861	159.28100000000
20	116634	240.84300000000
20	117408	237.07600000000
20	118181	121.10300000000
20	118182	117.35700000000
20	118955	209.34400000000
20	119729	16.02800000000
21	108939	48.29280000000
21	108940	256.16000000000
21	108941	125.69800000000
21	109712	125.49500000000
21	109713	249.39900000000
21	110485	260.89500000000
21	110486	139.34800000000
21	111257	217.33700000000
21	111258	252.49900000000
21	111259	6.45328000000
21	112017	36.46800000000
21	112018	224.85500000000
21	112019	200.00000000000
21	112020	221.00000000000
21	112021	250.69800000000
21	112022	211.36500000000
21	112023	260.33200000000
21	112024	276.04600000000
21	112025	231.49900000000
21	112026	200.00000000000
21	112027	200.00000000000
21	112028	200.00000000000
21	112029	307.54600000000
21	112030	241.99900000000
21	112031	29.01160000000
21	112789	149.11600000000
21	112790	201.54300000000
21	112791	227.02500000000
21	113561	172.64800000000
21	113562	241.99900000000
21	113563	137.68800000000
21	114334	227.07100000000
21	114335	71.77600000000
21	115107	171.37900000000
21	115108	81.12010000000
21	115880	157.72800000000
21	115881	170.74600000000
21	116653	121.76600000000
21	116654	175.92500000000
21	117426	212.26500000000
21	117427	161.47400000000
21	118199	229.31200000000
21	118200	68.37960000000
21	118956	168.05400000000
21	118957	200.00000000000
21	118958	276.04600000000
21	118959	29.60600000000
21	118971	176.89500000000
21	118972	231.49900000000
21	118973	66.73930000000
21	119729	170.22200000000
21	119730	109.79300000000
21	119733	195.74300000000
21	119734	377.44200000000
21	119735	221.57400000000
21	119736	285.97200000000
21	119737	200.00000000000
21	119738	40.76800000000
21	119739	132.84300000000
21	119740	97.04660000000
21	119741	101.91300000000
21	119742	202.98300000000
21	119743	285.36500000000
21	119744	200.00000000000
21	119745	65.10470000000
21	120512	268.23400000000
21	120513	116.39900000000
21	120514	204.34900000000
21	120515	154.93500000000
22	108786	42.65860000000
22	108787	277.00800000000
22	108788	91.25310000000
22	109559	43.81450000000
22	109560	284.73100000000
22	109562	159.44500000000
22	109563	395.43900000000
22	110332	44.97030000000
22	110333	253.87700000000
22	110337	200.00000000000
22	110385	158.45100000000
22	110386	194.42100000000
22	111105	189.52100000000
22	111106	210.72200000000
22	111111	60.83990000000
22	111112	291.25300000000
22	111158	159.60700000000
22	111159	139.24000000000
22	111878	190.67700000000
22	111879	108.17100000000
22	111886	187.58400000000
22	111887	139.16000000000
22	111931	93.41470000000
22	111932	163.43300000000
22	112652	200.00000000000
22	112661	238.28200000000
22	112662	164.50900000000
22	112705	200.00000000000
22	113426	136.75300000000
22	113436	238.28200000000
22	113437	240.55500000000
22	113479	16.89500000000
22	113480	229.45300000000
22	114211	86.18870000000
22	114212	240.55500000000
22	114254	241.99900000000
22	114986	162.23500000000
22	114987	357.37900000000
22	114988	226.21400000000
22	114989	195.43900000000
22	115028	241.99900000000
22	115763	105.95600000000
22	115764	200.00000000000
22	115765	200.00000000000
22	115766	260.70400000000
22	115767	337.73700000000
22	115768	256.84800000000
22	115769	209.39100000000
22	115801	115.24000000000
22	115802	141.53700000000
22	116543	168.05000000000
22	116544	301.39500000000
22	116545	200.00000000000
22	116546	164.27500000000
22	116575	240.84300000000
22	117320	111.77200000000
22	117321	301.39500000000
22	117322	91.01870000000
22	117348	103.17600000000
22	117349	144.39900000000
22	118096	210.37700000000
22	118097	225.34900000000
22	118098	250.69800000000
22	118099	248.69300000000
22	118122	259.46000000000
22	118873	27.35400000000
22	118874	225.34900000000
22	118875	301.39500000000
22	118876	127.52900000000
22	118895	210.54400000000
22	118896	87.14780000000
22	119650	325.95900000000
22	119651	76.83180000000
22	119667	54.92180000000
22	119668	257.01700000000
22	119669	87.14780000000
22	120425	224.56300000000
22	120426	276.04600000000
22	120427	200.00000000000
22	120428	158.45900000000
22	120436	151.47400000000
22	120437	220.79700000000
22	120438	210.70200000000
22	120439	200.00000000000
22	120440	200.00000000000
22	120441	201.92600000000
22	121202	142.93600000000
22	121203	200.00000000000
22	121204	250.69800000000
22	121205	256.84800000000
22	121206	276.04600000000
22	121207	200.00000000000
22	121208	172.41200000000
22	121209	194.42700000000
22	121210	103.26500000000
22	121982	128.98400000000
22	121983	96.03020000000
23	103976	39.44120000000
23	104747	102.58600000000
23	104748	301.39500000000
23	104749	200.00000000000
23	104750	232.25600000000
23	104751	231.49900000000
23	104752	160.72100000000
23	105520	305.37700000000
23	105521	183.96000000000
23	105526	81.27800000000
23	105527	288.34800000000
23	105528	29.46130000000
23	106293	305.37700000000
23	106294	82.56490000000
23	106302	269.38600000000
23	106303	28.30540000000
23	107065	54.67900000000
23	107066	326.74400000000
23	107067	82.56500000000
23	107077	272.34300000000
23	107838	54.67900000000
23	107839	333.26200000000
23	107851	0.48500700000
23	107852	240.35800000000
23	108612	236.25400000000
23	108626	143.87900000000
23	108627	107.63200000000
